job,start_time,end_time,elapse,state,ip
mapping,59:00.4,59:34.7,34,COMPLETE,14.12.53.84
mapping,59:00.8,59:34.9,34,COMPLETE,14.12.49.189
mapping,59:00.9,59:33.8,32,COMPLETE,14.12.53.149
mapping,59:00.8,59:35.5,34,COMPLETE,14.12.57.190
mapping,59:00.7,59:35.3,34,COMPLETE,14.12.55.151
mapping,59:00.9,59:34.0,33,COMPLETE,14.12.55.164
mapping,59:01.2,59:33.5,32,COMPLETE,14.12.50.99
mapping,59:01.2,59:33.8,32,COMPLETE,14.12.63.96
mapping,59:00.9,59:33.2,32,COMPLETE,14.12.53.71
mapping,59:01.6,59:33.6,32,COMPLETE,14.12.48.223
mapping,59:02.8,59:35.2,32,COMPLETE,14.12.51.52
mapping,59:03.4,59:33.1,29,COMPLETE,14.12.54.148
mapping,59:04.6,59:34.5,29,COMPLETE,14.12.58.106
mapping,58:21.6,59:36.1,74,COMPLETE,14.12.29.206
mapping,58:21.4,59:37.4,75,COMPLETE,14.12.51.118
mapping,58:59.1,59:36.1,36,COMPLETE,14.12.26.11
mapping,58:59.4,59:38.0,38,COMPLETE,14.12.56.81
mapping,58:59.6,59:36.9,37,COMPLETE,14.12.48.67
mapping,58:59.8,59:37.3,37,COMPLETE,14.12.60.177
mapping,58:59.4,59:36.5,37,COMPLETE,14.12.48.13
mapping,59:00.2,59:36.1,35,COMPLETE,14.12.48.195
mapping,59:00.1,59:36.7,36,COMPLETE,14.12.51.243
mapping,59:00.3,59:35.8,35,COMPLETE,14.12.31.134
mapping,59:00.0,59:37.8,37,COMPLETE,14.12.49.13
mapping,59:00.3,59:35.7,35,COMPLETE,14.12.60.147
mapping,59:00.4,59:37.4,36,COMPLETE,14.12.50.252
mapping,59:00.8,59:36.5,35,COMPLETE,14.12.57.78
mapping,59:00.4,59:36.6,36,COMPLETE,14.12.58.133
mapping,59:02.5,59:36.7,34,COMPLETE,14.12.61.156
mapping,59:02.5,59:36.7,34,COMPLETE,14.12.51.142
mapping,59:02.8,59:35.8,33,COMPLETE,14.12.59.5
mapping,59:03.3,59:36.6,33,COMPLETE,14.12.16.140
mapping,59:02.9,59:37.5,34,COMPLETE,14.12.53.13
mapping,59:03.4,59:37.6,34,COMPLETE,14.12.56.52
mapping,59:03.6,59:35.9,32,COMPLETE,14.12.48.170
mapping,59:04.2,59:36.7,32,COMPLETE,14.12.62.39
mapping,59:04.1,59:37.1,33,COMPLETE,14.12.53.128
mapping,59:04.5,59:35.9,31,COMPLETE,14.12.61.103
mapping,59:04.4,59:37.2,32,COMPLETE,14.12.49.111
mapping,59:04.6,59:37.2,32,COMPLETE,14.12.54.118
mapping,59:05.5,59:37.5,32,COMPLETE,14.12.20.169
mapping,58:21.5,59:39.0,77,COMPLETE,14.12.63.213
mapping,58:21.2,59:39.6,78,COMPLETE,14.12.24.253
mapping,58:21.5,59:40.0,78,COMPLETE,14.12.18.146
mapping,58:58.4,59:40.3,41,COMPLETE,14.12.63.99
mapping,58:58.7,59:39.7,41,COMPLETE,14.12.61.177
mapping,58:58.9,59:40.5,41,COMPLETE,14.12.60.159
mapping,58:59.2,59:40.2,40,COMPLETE,14.12.26.155
mapping,58:59.0,59:39.1,40,COMPLETE,14.12.57.117
mapping,58:59.1,59:39.5,40,COMPLETE,14.12.16.75
mapping,58:59.1,59:39.6,40,COMPLETE,14.12.53.68
