job,start_time,end_time,elapse,state,ip,,,
bam_merge_and_sort,06:09.4,06:25.4,16,COMPLETE,14.12.30.207,,,
bam_merge_and_sort,06:09.1,06:23.4,14,COMPLETE,14.12.31.74,,,
bam_merge_and_sort,06:09.2,06:25.0,15,COMPLETE,14.12.19.44,,,
bam_merge_and_sort,06:09.1,06:23.5,14,COMPLETE,14.12.16.183,,,
bam_merge_and_sort,06:09.1,06:25.1,15,COMPLETE,14.12.63.104,,,
bam_merge_and_sort,06:09.3,06:24.2,14,COMPLETE,14.12.25.24,,,
bam_merge_and_sort,06:09.3,06:24.7,15,COMPLETE,14.12.18.216,,,
bam_merge_and_sort,06:09.1,06:25.1,16,COMPLETE,14.12.23.158,,,
bam_merge_and_sort,06:09.1,06:24.0,14,COMPLETE,14.12.57.77,,,
bam_merge_and_sort,06:09.1,06:25.1,15,COMPLETE,14.12.49.186,,,
bam_merge_and_sort,06:09.4,06:24.8,15,COMPLETE,14.12.18.99,,,
bam_merge_and_sort,06:09.3,06:24.2,14,COMPLETE,14.12.27.42,,,
bam_merge_and_sort,06:09.5,06:25.4,15,COMPLETE,14.12.16.148,,,
bam_merge_and_sort,06:09.2,06:23.9,14,COMPLETE,14.12.16.198,,,
bam_merge_and_sort,06:09.5,06:25.6,16,COMPLETE,14.12.26.147,,,
bam_merge_and_sort,06:09.1,06:24.2,15,COMPLETE,14.12.19.32,,,
bam_merge_and_sort,06:09.0,06:23.6,14,COMPLETE,14.12.21.185,,,
bam_merge_and_sort,06:09.3,06:24.0,14,COMPLETE,14.12.51.122,,,
bam_merge_and_sort,06:09.5,06:24.8,15,COMPLETE,14.12.20.125,,,
bam_merge_and_sort,06:09.4,06:24.3,14,COMPLETE,14.12.17.231,,,
bam_merge_and_sort,06:08.8,06:23.3,14,COMPLETE,14.12.58.133,,,
bam_merge_and_sort,06:09.2,06:24.9,15,COMPLETE,14.12.49.149,,,
bam_merge_and_sort,06:09.5,06:25.2,15,COMPLETE,14.12.16.148,,,
bam_merge_and_sort,06:09.2,06:25.4,16,COMPLETE,14.12.16.198,,,
bam_merge_and_sort,06:09.4,06:24.7,15,COMPLETE,14.12.31.69,,,
bam_merge_and_sort,06:09.2,06:25.2,15,COMPLETE,14.12.59.225,,,
bam_merge_and_sort,06:09.4,06:25.6,16,COMPLETE,14.12.30.159,,,
bam_merge_and_sort,06:09.4,06:24.3,14,COMPLETE,14.12.17.231,,,
bam_merge_and_sort,06:09.4,06:24.0,14,COMPLETE,14.12.30.159,,,
bam_merge_and_sort,06:09.2,06:24.0,14,COMPLETE,14.12.27.120,,,
bam_merge_and_sort,06:09.2,06:24.6,15,COMPLETE,14.12.58.45,,,
bam_merge_and_sort,06:09.0,06:24.9,15,COMPLETE,14.12.62.136,,,
bam_merge_and_sort,06:09.4,06:25.4,15,COMPLETE,14.12.28.204,,,
bam_merge_and_sort,06:09.2,06:25.4,16,COMPLETE,14.12.31.165,,,
bam_merge_and_sort,06:09.5,06:23.9,14,COMPLETE,14.12.28.82,,,
bam_merge_and_sort,06:09.5,06:26.0,16,COMPLETE,14.12.28.82,,,
bam_merge_and_sort,06:09.0,06:23.9,14,COMPLETE,14.12.21.148,,,
bam_merge_and_sort,06:09.3,06:25.4,16,COMPLETE,14.12.28.34,,,
bam_merge_and_sort,06:09.2,06:24.4,15,COMPLETE,14.12.56.196,,,
bam_merge_and_sort,06:09.2,06:25.5,16,COMPLETE,14.12.22.67,,,
bam_merge_and_sort,06:09.3,06:24.3,15,COMPLETE,14.12.50.99,,,
bam_merge_and_sort,06:09.2,06:23.6,14,COMPLETE,14.12.57.226,,,
bam_merge_and_sort,06:09.1,06:24.2,15,COMPLETE,14.12.26.11,,,
bam_merge_and_sort,06:09.2,06:25.4,16,COMPLETE,14.12.21.117,,,
bam_merge_and_sort,06:09.2,06:23.9,14,COMPLETE,14.12.23.62,,,
bam_merge_and_sort,06:09.1,06:25.5,16,COMPLETE,14.12.49.210,,,
bam_merge_and_sort,06:09.1,06:25.1,16,COMPLETE,14.12.26.28,,,
bam_merge_and_sort,06:09.3,06:24.9,15,COMPLETE,14.12.56.52,,,
bam_merge_and_sort,06:09.4,06:25.0,15,COMPLETE,14.12.21.15,,,
bam_merge_and_sort,06:09.1,06:25.2,16,COMPLETE,14.12.55.27,,,
bam_merge_and_sort,06:09.1,06:24.1,14,COMPLETE,14.12.20.214,,,
bam_merge_and_sort,06:09.2,06:25.6,16,COMPLETE,14.12.22.67,,,
bam_merge_and_sort,06:09.0,06:24.0,15,COMPLETE,14.12.54.254,,,
bam_merge_and_sort,06:09.2,06:24.0,14,COMPLETE,14.12.22.51,,,
bam_merge_and_sort,06:09.4,06:24.0,14,COMPLETE,14.12.23.187,,,
bam_merge_and_sort,06:09.0,06:24.1,15,COMPLETE,14.12.62.57,,,
bam_merge_and_sort,06:09.5,06:24.2,14,COMPLETE,14.12.17.63,,,
