job,start_time,end_time,elapse,state,ip
vcf,09:03.5,10:43.7,100,COMPLETE,14.12.20.214
vcf,09:04.6,10:43.8,99,COMPLETE,14.12.31.94
vcf,09:04.8,10:43.8,99,COMPLETE,14.12.56.41
vcf,09:05.4,10:44.1,98,COMPLETE,14.12.23.56
vcf,09:05.5,10:43.7,98,COMPLETE,14.12.62.194
vcf,09:05.8,10:42.8,97,COMPLETE,14.12.51.243
vcf,09:14.9,10:42.5,87,COMPLETE,14.12.63.164
vcf,07:31.3,10:46.0,194,COMPLETE,14.12.50.31
vcf,07:31.6,10:44.5,192,COMPLETE,14.12.22.183
vcf,07:31.4,10:46.1,194,COMPLETE,14.12.30.125
vcf,07:31.3,10:46.2,194,COMPLETE,14.12.25.77
vcf,07:31.2,10:45.8,194,COMPLETE,14.12.23.245
vcf,08:58.3,10:46.2,107,COMPLETE,14.12.16.239
vcf,09:01.8,10:44.2,102,COMPLETE,14.12.54.105
vcf,09:02.2,10:45.6,103,COMPLETE,14.12.60.147
vcf,09:02.8,10:44.1,101,COMPLETE,14.12.59.5
vcf,09:03.3,10:45.7,102,COMPLETE,14.12.18.146
vcf,09:03.1,10:44.7,101,COMPLETE,14.12.55.164
vcf,09:03.6,10:45.3,101,COMPLETE,14.12.60.194
vcf,09:04.1,10:44.3,100,COMPLETE,14.12.29.114
vcf,09:04.5,10:44.4,99,COMPLETE,14.12.23.88
vcf,09:04.3,10:44.8,100,COMPLETE,14.12.58.71
vcf,09:04.7,10:44.9,100,COMPLETE,14.12.24.82
vcf,09:04.6,10:44.2,99,COMPLETE,14.12.57.249
vcf,09:04.8,10:44.7,99,COMPLETE,14.12.62.83
vcf,09:04.9,10:45.3,100,COMPLETE,14.12.52.20
vcf,09:05.4,10:46.0,100,COMPLETE,14.12.48.67
vcf,09:05.2,10:45.4,100,COMPLETE,14.12.60.200
vcf,09:05.2,10:45.6,100,COMPLETE,14.12.59.211
vcf,09:06.0,10:45.5,99,COMPLETE,14.12.17.34
vcf,09:05.6,10:43.7,98,COMPLETE,14.12.58.133
vcf,09:06.1,10:45.6,99,COMPLETE,14.12.56.196
vcf,09:06.0,10:44.6,98,COMPLETE,14.12.55.151
vcf,09:06.7,10:44.8,98,COMPLETE,14.12.31.134
vcf,09:07.7,10:45.4,97,COMPLETE,14.12.56.123
vcf,09:07.7,10:44.8,97,COMPLETE,14.12.26.111
vcf,09:07.8,10:46.2,98,COMPLETE,14.12.29.56
vcf,09:08.0,10:45.6,97,COMPLETE,14.12.59.151
vcf,09:08.5,10:44.8,96,COMPLETE,14.12.55.27
vcf,09:09.0,10:45.9,96,COMPLETE,14.12.51.27
vcf,07:31.6,10:48.3,196,COMPLETE,14.12.30.159
vcf,07:31.7,10:48.0,196,COMPLETE,14.12.28.82
